epoch r_square
1 0.6889
2 0.7350
3 0.7641
4 0.7659
5 0.7815
6 0.7707
7 0.7881
8 0.7840
9 0.7873
10 0.7929
11 0.7995
12 0.7984
13 0.7938
14 0.7971
15 0.8124
16 0.8031
17 0.7890
18 0.8041
19 0.8101
20 0.8102
21 0.8052
22 0.8053
23 0.8152
24 0.8088
25 0.8172
26 0.8105
27 0.8061
28 0.8102
29 0.8021
30 0.8141
